,name,cause
112836,112836B4U62_00615,One of the proteins don't contain protein. name in csv is: 112836 CDS and his locus_tag is: B4U62_00615. 
302340,302340B4U62_01670,One of the proteins don't contain protein. name in csv is: 302340 CDS and his locus_tag is: B4U62_01670. 
312202,312202B4U62_01720,One of the proteins don't contain protein. name in csv is: 312202 CDS and his locus_tag is: B4U62_01720. 
318966,318966B4U62_01755,One of the proteins don't contain protein. name in csv is: 318966 CDS and his locus_tag is: B4U62_01755. 
490590,490590B4U62_02485,One of the proteins don't contain protein. name in csv is: 490590 CDS and his locus_tag is: B4U62_02485. 
510861,510861B4U62_02610,One of the proteins don't contain protein. name in csv is: 510861 CDS and his locus_tag is: B4U62_02610. 
524399,524399B4U62_02700,One of the proteins don't contain protein. name in csv is: 524399 CDS and his locus_tag is: B4U62_02700. 
560846,560846B4U62_02950,One of the proteins don't contain protein. name in csv is: 560846 CDS and his locus_tag is: B4U62_02950. 
581295,581295B4U62_03065,One of the proteins don't contain protein. name in csv is: 581295 CDS and his locus_tag is: B4U62_03065. 
633964,633964B4U62_03355,One of the proteins don't contain protein. name in csv is: 633964 CDS and his locus_tag is: B4U62_03355. 
651997,651997B4U62_03465,One of the proteins don't contain protein. name in csv is: 651997 CDS and his locus_tag is: B4U62_03465. 
653162,653162B4U62_03470,One of the proteins don't contain protein. name in csv is: 653162 CDS and his locus_tag is: B4U62_03470. 
657834,657834B4U62_03500,One of the proteins don't contain protein. name in csv is: 657834 CDS and his locus_tag is: B4U62_03500. 
663948,663948B4U62_03525,One of the proteins don't contain protein. name in csv is: 663948 CDS and his locus_tag is: B4U62_03525. 
723676,723676B4U62_03795,One of the proteins don't contain protein. name in csv is: 723676 CDS and his locus_tag is: B4U62_03795. 
726075,726075B4U62_03805,One of the proteins don't contain protein. name in csv is: 726075 CDS and his locus_tag is: B4U62_03805. 
786728,786728B4U62_04080,One of the proteins don't contain protein. name in csv is: 786728 CDS and his locus_tag is: B4U62_04080. 
882304,882304B4U62_04535,One of the proteins don't contain protein. name in csv is: 882304 CDS and his locus_tag is: B4U62_04535. 
1047109,1047109B4U62_05450,One of the proteins don't contain protein. name in csv is: 1047109 CDS and his locus_tag is: B4U62_05450. 
1263430,1263430B4U62_06590,One of the proteins don't contain protein. name in csv is: 1263430 CDS and his locus_tag is: B4U62_06590. 
1272757,1272757B4U62_06655,One of the proteins don't contain protein. name in csv is: 1272757 CDS and his locus_tag is: B4U62_06655. 
1309911,1309911B4U62_06855,One of the proteins don't contain protein. name in csv is: 1309911 CDS and his locus_tag is: B4U62_06855. 
1327227,1327227B4U62_06970,One of the proteins don't contain protein. name in csv is: 1327227 CDS and his locus_tag is: B4U62_06970. 
1895031,1895031B4U62_09575,One of the proteins don't contain protein. name in csv is: 1895031 CDS and his locus_tag is: B4U62_09575. 
1917464,1917464B4U62_09710,One of the proteins don't contain protein. name in csv is: 1917464 CDS and his locus_tag is: B4U62_09710. 
2055604,2055604B4U62_10255,One of the proteins don't contain protein. name in csv is: 2055604 CDS and his locus_tag is: B4U62_10255. 
2061817,2061817B4U62_10310,One of the proteins don't contain protein. name in csv is: 2061817 CDS and his locus_tag is: B4U62_10310. 
2063541,2063541B4U62_10325,One of the proteins don't contain protein. name in csv is: 2063541 CDS and his locus_tag is: B4U62_10325. 
2160012,2160012B4U62_10925,Difference in csv protein and translation. name in csv is: 2160012 CDS and his locus_tag is: B4U62_10925. 
2162139,2162139B4U62_10940,Difference in csv protein and translation. name in csv is: 2162139 CDS and his locus_tag is: B4U62_10940. 
2374914,2374914B4U62_12305,One of the proteins don't contain protein. name in csv is: 2374914 CDS and his locus_tag is: B4U62_12305. 
2433654,2433654B4U62_12640,One of the proteins don't contain protein. name in csv is: 2433654 CDS and his locus_tag is: B4U62_12640. 
2435860,2435860B4U62_12665,One of the proteins don't contain protein. name in csv is: 2435860 CDS and his locus_tag is: B4U62_12665. 
2477797,2477797B4U62_12920,One of the proteins don't contain protein. name in csv is: 2477797 CDS and his locus_tag is: B4U62_12920. 
2499111,2499111B4U62_13030,One of the proteins don't contain protein. name in csv is: 2499111 CDS and his locus_tag is: B4U62_13030. 
2512882,2512882B4U62_13085,One of the proteins don't contain protein. name in csv is: 2512882 CDS and his locus_tag is: B4U62_13085. 
2560325,2560325B4U62_13370,One of the proteins don't contain protein. name in csv is: 2560325 CDS and his locus_tag is: B4U62_13370. 
2617470,2617470B4U62_13705,One of the proteins don't contain protein. name in csv is: 2617470 CDS and his locus_tag is: B4U62_13705. 
2699530,2699530B4U62_14220,One of the proteins don't contain protein. name in csv is: 2699530 CDS and his locus_tag is: B4U62_14220. 
2711127,2711127B4U62_14295,One of the proteins don't contain protein. name in csv is: 2711127 CDS and his locus_tag is: B4U62_14295. 
2713219,2713219B4U62_14310,One of the proteins don't contain protein. name in csv is: 2713219 CDS and his locus_tag is: B4U62_14310. 
2728666,2728666B4U62_14415,One of the proteins don't contain protein. name in csv is: 2728666 CDS and his locus_tag is: B4U62_14415. 
2732562,2732562B4U62_14440,One of the proteins don't contain protein. name in csv is: 2732562 CDS and his locus_tag is: B4U62_14440. 
2897182,2897182B4U62_15270,One of the proteins don't contain protein. name in csv is: 2897182 CDS and his locus_tag is: B4U62_15270. 
3203898,3203898B4U62_16885,One of the proteins don't contain protein. name in csv is: 3203898 CDS and his locus_tag is: B4U62_16885. 
3377033,3377033B4U62_17770,One of the proteins don't contain protein. name in csv is: 3377033 CDS and his locus_tag is: B4U62_17770. 
3405678,3405678B4U62_17925,One of the proteins don't contain protein. name in csv is: 3405678 CDS and his locus_tag is: B4U62_17925. 
3487829,3487829B4U62_18345,One of the proteins don't contain protein. name in csv is: 3487829 CDS and his locus_tag is: B4U62_18345. 
3496508,3496508B4U62_18390,One of the proteins don't contain protein. name in csv is: 3496508 CDS and his locus_tag is: B4U62_18390. 
3579692,3579692B4U62_18780,One of the proteins don't contain protein. name in csv is: 3579692 CDS and his locus_tag is: B4U62_18780. 
3627150,3627150B4U62_19010,One of the proteins don't contain protein. name in csv is: 3627150 CDS and his locus_tag is: B4U62_19010. 
3666661,3666661B4U62_19210,One of the proteins don't contain protein. name in csv is: 3666661 CDS and his locus_tag is: B4U62_19210. 
3769246,3769246B4U62_19750,One of the proteins don't contain protein. name in csv is: 3769246 CDS and his locus_tag is: B4U62_19750. 
3823242,3823242B4U62_20060,One of the proteins don't contain protein. name in csv is: 3823242 CDS and his locus_tag is: B4U62_20060. 
3851874,3851874B4U62_20205,One of the proteins don't contain protein. name in csv is: 3851874 CDS and his locus_tag is: B4U62_20205. 
3951687,3951687B4U62_20710,One of the proteins don't contain protein. name in csv is: 3951687 CDS and his locus_tag is: B4U62_20710. 
4007025,4007025B4U62_20985,One of the proteins don't contain protein. name in csv is: 4007025 CDS and his locus_tag is: B4U62_20985. 
4147348,4147348B4U62_21690,One of the proteins don't contain protein. name in csv is: 4147348 CDS and his locus_tag is: B4U62_21690. 
4172205,4172205B4U62_21845,One of the proteins don't contain protein. name in csv is: 4172205 CDS and his locus_tag is: B4U62_21845. 
4187454,4187454B4U62_21945,One of the proteins don't contain protein. name in csv is: 4187454 CDS and his locus_tag is: B4U62_21945. 
